date,open,high,low,close,change,volume
2024-01-17,2027.90,2033.05,2001.91,2005.72,-1.08%,0
2024-01-18,2006.09,2023.45,2005.43,2022.67,0.85%,0
2024-01-19,2023.05,2039.49,2020.37,2029.09,0.32%,0
2024-01-22,2029.90,2032.28,2016.74,2020.09,-0.44%,0
2024-01-23,2021.24,2037.92,2019.59,2027.68,0.38%,0
2024-01-24,2028.94,2036.74,2011.28,2012.59,-0.74%,0
2024-01-25,2012.84,2025.27,2010.15,2019.75,0.36%,0
2024-01-26,2019.94,2026.80,2015.97,2018.34,-0.07%,0
2024-01-29,2019.40,2037.75,2017.38,2031.75,0.66%,0
2024-01-30,2031.97,2048.48,2029.19,2036.12,0.21%,0
2024-01-31,2036.58,2056.08,2031.00,2037.19,0.05%,0
2024-02-01,2037.59,2065.42,2029.55,2054.09,0.83%,0
2024-02-02,2055.09,2058.20,2027.45,2038.59,-0.75%,0
2024-02-05,2039.91,2042.32,2014.40,2024.67,-0.68%,0
2024-02-06,2024.99,2039.02,2022.55,2035.46,0.53%,0
2024-02-07,2035.90,2044.65,2030.65,2034.22,-0.06%,0
2024-02-08,2034.55,2038.94,2019.75,2033.18,-0.05%,0
2024-02-09,2033.65,2037.44,2020.30,2024.16,-0.44%,0
2024-02-12,2024.53,2028.09,2011.91,2019.79,-0.22%,0
2024-02-13,2019.90,2030.05,1990.19,1992.13,-1.37%,0
2024-02-14,1992.55,1996.14,1984.30,1992.39,0.01%,0
2024-02-15,1992.69,2008.49,1990.25,2004.09,0.59%,0
2024-02-16,2004.40,2015.25,1995.26,2013.10,0.45%,0
2024-02-20,2017.99,2030.96,2015.02,2023.53,0.29%,0
2024-02-21,2023.80,2032.22,2020.19,2024.99,0.07%,0
2024-02-22,2025.24,2034.84,2019.70,2024.11,-0.04%,0
2024-02-23,2024.49,2041.43,2015.55,2035.72,0.57%,0
2024-02-26,2034.49,2037.59,2025.10,2030.66,-0.25%,0
2024-02-27,2030.99,2039.99,2028.78,2029.64,-0.05%,0
2024-02-28,2030.05,2038.30,2024.56,2034.62,0.25%,0
2024-02-29,2034.92,2050.79,2027.75,2043.24,0.42%,0
2024-03-01,2043.44,2088.40,2038.55,2083.39,1.96%,0
2024-03-04,2082.09,2119.95,2079.45,2114.99,1.52%,0
2024-03-05,2115.15,2142.15,2110.52,2127.55,0.59%,0
2024-03-06,2127.95,2152.29,2123.65,2148.29,0.98%,0
