"Date","Price","Open","High","Low","Vol.","Change %"
"06/23/2023","73.85","74.02","74.44","72.11","16954K","-0.39%"
"06/22/2023","74.14","77.03","77.20","73.59","32953K","-3.86%"
"06/21/2023","77.12","75.54","77.24","75.52","23655K","1.61%"
"06/20/2023","75.90","76.12","77.15","74.51","27638K","-0.25%"
"06/19/2023","76.09","76.40","76.93","75.34","14142K","-0.68%"
"06/16/2023","76.61","75.64","76.74","75.08","25625K","1.24%"
"06/15/2023","75.67","73.41","75.97","72.91","26041K","3.37%"
"06/14/2023","73.20","74.05","75.49","73.03","31837K","-1.47%"
"06/13/2023","74.29","72.11","74.66","71.94","32115K","3.41%"
"06/12/2023","71.84","74.87","74.87","71.58","35850K","-3.94%"
"06/09/2023","74.79","75.53","76.57","74.71","26020K","-1.54%"
"06/08/2023","75.96","76.80","77.68","73.58","39389K","-1.29%"
"06/07/2023","76.95","76.22","77.64","75.51","32563K","0.87%"
"06/06/2023","76.29","76.55","76.75","74.72","30458K","-0.55%"
"06/05/2023","76.71","77.68","78.73","76.31","38400K","0.76%"
"06/02/2023","76.13","74.28","76.50","74.18","27354K","2.49%"
"06/01/2023","74.28","72.15","75.25","72.03","34992K","2.23%"
"05/31/2023","72.66","73.60","73.81","71.39","20.1K","-1.20%"
"05/30/2023","73.54","76.98","77.57","73.20","11218K","-4.58%"
"05/29/2023","77.07","77.39","77.75","76.15","31.5K","0.16%"
"05/26/2023","76.95","76.09","77.35","75.73","15062K","0.90%"
"05/25/2023","76.26","78.22","78.50","75.10","23772K","-2.68%"
"05/24/2023","78.36","77.70","78.66","77.03","28599K","1.98%"
"05/23/2023","76.84","76.15","77.74","75.65","28723K","1.12%"
"05/22/2023","75.99","75.63","76.46","74.55","24196K","0.54%"
"05/19/2023","75.58","76.03","77.50","75.12","24053K","-0.37%"
"05/18/2023","75.86","76.78","76.99","75.50","23200K","-1.43%"
"05/17/2023","76.96","74.67","77.31","74.10","29706K","2.74%"
"05/16/2023","74.91","75.55","75.95","74.50","21620K","-0.43%"
"05/15/2023","75.23","74.15","75.75","73.49","24052K","1.43%"
"05/12/2023","74.17","75.35","75.85","74.03","25922K","-1.08%"
"05/11/2023","74.98","76.62","77.41","74.61","34516K","-1.87%"
"05/10/2023","76.41","77.36","77.60","75.68","31137K","-1.33%"
