date,open,high,low,close,change,volume
2023-10-10,88.17,88.49,86.91,87.65,-0.57%,35211K
2023-10-11,87.72,88.26,85.21,85.82,-2.09%,40231K
2023-10-12,85.53,87.64,85.18,86.00,0.21%,37044K
2023-10-13,86.35,91.00,86.28,90.89,5.69%,42471K
2023-10-16,90.98,91.39,89.50,89.65,-1.36%,28325K
2023-10-17,89.91,91.00,88.88,89.90,0.28%,25283K
2023-10-18,91.25,93.00,90.60,91.50,1.78%,34819K
2023-10-19,91.35,93.48,89.57,92.38,0.96%,30900K
2023-10-20,93.23,93.79,91.66,92.16,-0.24%,27272K
2023-10-23,92.11,92.45,89.62,89.83,-2.53%,28244K
2023-10-24,90.47,90.68,87.35,88.07,-1.96%,30412K
2023-10-25,88.04,90.35,86.68,90.13,2.34%,29091K
2023-10-26,89.92,90.40,87.53,87.93,-2.44%,19864K
2023-10-27,88.40,90.75,87.83,90.48,2.90%,10914K
2023-10-30,90.07,90.15,87.20,87.45,-3.35%,99.4K
2023-10-31,87.90,88.61,87.40,87.41,-0.05%,13.8K
2023-11-01,85.45,87.24,84.58,84.63,-3.18%,32166K
2023-11-02,85.00,87.05,84.64,86.85,2.62%,30187K
2023-11-03,86.92,87.80,84.56,84.89,-2.26%,35485K
2023-11-06,85.55,86.46,84.88,85.18,0.34%,23923K
2023-11-07,85.15,85.19,81.40,81.61,-4.19%,40276K
2023-11-08,81.40,81.96,79.20,79.54,-2.54%,42070K
2023-11-09,79.70,81.48,79.44,80.01,0.59%,30611K
2023-11-10,79.85,82.06,79.79,81.43,1.77%,24955K
2023-11-13,81.43,82.84,80.41,82.52,1.34%,24330K
2023-11-14,82.71,83.97,82.06,82.47,-0.06%,24894K
2023-11-15,82.39,83.04,80.79,81.18,-1.56%,29942K
2023-11-16,80.98,81.17,76.60,77.42,-4.63%,44164K
2023-11-17,77.55,80.81,77.28,80.61,4.12%,34003K
2023-11-20,80.30,82.94,79.58,82.32,2.12%,24833K
2023-11-21,82.13,82.54,81.43,82.45,0.16%,23851K
2023-11-22,82.47,82.65,78.41,81.96,-0.59%,36718K
2023-11-23,81.60,81.63,80.19,81.42,-0.66%,10832K
2023-11-24,81.40,82.20,80.13,80.58,-1.03%,11414K
2023-11-27,80.40,81.17,79.13,79.98,-0.74%,15736K
2023-11-28,80.19,82.16,79.80,81.68,2.13%,11250K
2023-11-29,81.91,83.25,80.96,83.10,1.74%,98.4K
2023-11-30,82.78,84.75,82.58,82.83,-0.32%,15.8K
2023-12-01,80.67,81.54,78.75,78.88,-4.77%,35025K
2023-12-04,79.50,79.72,77.52,78.03,-1.08%,38838K
2023-12-05,78.10,79.09,77.00,77.20,-1.06%,35289K
2023-12-06,77.12,77.65,74.11,74.30,-3.76%,38540K
2023-12-07,74.50,75.48,73.60,74.05,-0.34%,29794K
2023-12-08,74.59,76.36,74.20,75.84,2.42%,22845K
2023-12-11,75.73,76.50,75.01,76.03,0.25%,21276K
2023-12-12,76.17,76.66,72.86,73.24,-3.67%,31009K
2023-12-13,73.26,74.70,72.29,74.26,1.39%,26018K
2023-12-14,74.76,77.35,74.44,76.61,3.16%,25752K
2023-12-15,76.66,77.23,75.29,76.55,-0.08%,22309K
2023-12-18,76.80,79.51,75.76,77.95,1.83%,27947K
2023-12-19,78.06,79.67,77.41,79.23,1.64%,21468K
2023-12-20,79.17,80.60,79.07,79.70,0.59%,24181K
2023-12-21,79.00,80.13,77.81,79.39,-0.39%,19332K
2023-12-22,79.35,80.37,78.88,79.07,-0.40%,11919K
2023-12-26,79.04,81.72,78.76,81.07,2.53%,59.4K
2023-12-27,80.79,81.33,79.29,79.65,-1.75%,70.9K
2023-12-28,79.80,79.95,78.25,78.39,-1.58%,18.8K
2023-12-29,77.38,77.98,76.73,77.04,-1.72%,19295K
2024-01-02,77.39,79.06,75.60,75.89,-1.49%,33835K
2024-01-03,76.06,78.67,74.79,78.25,3.11%,36177K
2024-01-04,78.56,79.41,76.50,77.59,-0.84%,35665K
2024-01-05,77.71,79.26,77.66,78.76,1.51%,29100K
2024-01-08,78.70,78.95,75.26,76.12,-3.35%,34263K
2024-01-09,76.30,78.19,75.95,77.59,1.93%,34679K
2024-01-10,77.48,78.73,76.38,76.80,-1.02%,35370K
2024-01-11,76.70,79.10,76.66,77.41,0.79%,39677K
2024-01-12,78.75,80.75,77.96,78.29,1.14%,40134K
2024-01-15,78.14,78.90,76.85,78.15,-0.18%,17769K
2024-01-16,78.43,79.40,77.60,78.29,0.18%,29855K
2024-01-17,77.77,78.19,76.50,77.88,-0.52%,35540K
2024-01-18,78.15,79.30,77.33,79.10,1.57%,32529K
2024-01-19,79.10,79.73,78.32,78.56,-0.68%,28231K
2024-01-22,78.89,80.55,77.81,80.06,1.91%,31971K
2024-01-23,79.92,80.43,78.70,79.55,-0.64%,33110K
2024-01-24,79.56,80.73,79.05,80.04,0.62%,23075K
2024-01-25,80.31,82.57,80.06,82.43,2.99%,24818K
2024-01-26,82.44,83.81,81.31,83.55,1.36%,24025K
2024-01-29,84.13,84.80,82.03,82.40,-1.38%,12991K
2024-01-30,82.62,83.30,81.34,82.87,0.57%,89.1K
2024-01-31,82.94,82.94,81.59,81.71,-1.40%,14.8K
2024-02-01,80.57,81.55,78.57,78.70,-3.68%,52577K
2024-02-02,79.15,79.44,76.85,77.33,-1.74%,41175K
2024-02-05,77.90,78.33,76.62,77.99,0.85%,29337K
2024-02-06,77.95,79.08,77.63,78.59,0.77%,30561K
2024-02-07,78.70,79.50,78.49,79.21,0.79%,29168K
2024-02-08,79.30,81.90,79.03,81.63,3.06%,43650K
2024-02-09,81.72,82.45,81.21,82.19,0.69%,31532K
2024-02-12,81.94,82.19,80.77,82.00,-0.23%,24624K
2024-02-13,82.00,83.24,81.96,82.77,0.94%,33180K
2024-02-14,82.60,83.60,81.39,81.60,-1.41%,34436K
2024-02-15,81.42,83.25,80.72,82.86,1.54%,33045K
2024-02-16,82.79,83.66,81.89,83.47,0.74%,33706K
2024-02-20,83.24,83.63,82.05,82.34,-1.46%,29703K
2024-02-21,82.50,83.17,81.66,83.03,0.84%,30518K
2024-02-22,83.20,83.96,82.33,83.67,0.77%,27528K
2024-02-23,83.39,83.48,81.43,81.62,-2.45%,22640K
2024-02-26,81.41,83.07,81.00,82.53,1.11%,18034K
