date,open,high,low,close,change,volume
2023-06-28,14876.25,15051.08,14865.81,14964.58,0.12%,24752M
2023-06-29,14965.55,14986.89,14876.94,14939.95,-0.16%,22621M
2023-06-30,15085.24,15213.75,15081.57,15179.21,1.60%,31760M
2023-07-03,15190.54,15232.96,15153.60,15208.69,0.19%,15055M
2023-07-05,15165.36,15275.18,15162.66,15203.78,-0.03%,22347M
2023-07-06,15054.10,15106.45,14969.14,15089.45,-0.75%,24250M
2023-07-07,15070.50,15210.63,15032.56,15036.85,-0.35%,24000M
2023-07-10,15031.95,15066.43,14924.64,15045.64,0.06%,27107M
2023-07-11,15068.13,15135.29,14974.16,15119.06,0.49%,23491M
2023-07-12,15279.35,15364.09,15209.71,15307.23,1.24%,28761M
2023-07-13,15432.48,15602.74,15420.71,15571.98,1.73%,24248M
2023-07-14,15610.00,15720.05,15531.00,15565.60,-0.04%,25639M
2023-07-17,15608.28,15745.67,15576.51,15713.28,0.95%,23703M
2023-07-18,15671.72,15895.68,15607.71,15841.35,0.82%,25865M
2023-07-19,15888.16,15932.05,15781.96,15826.35,-0.09%,26874M
2023-07-20,15717.67,15771.84,15429.87,15466.09,-2.28%,33420M
2023-07-21,15554.96,15600.54,15410.57,15425.67,-0.26%,79903M
2023-07-24,15475.15,15504.67,15374.66,15448.02,0.14%,22080M
2023-07-25,15483.06,15622.69,15482.04,15561.42,0.73%,23486M
2023-07-26,15514.04,15571.16,15411.91,15499.26,-0.40%,26328M
2023-07-27,15734.03,15795.51,15416.05,15464.93,-0.22%,29179M
2023-07-28,15630.17,15788.48,15617.75,15750.93,1.85%,29590M
2023-07-31,15774.30,15803.55,15702.74,15757.00,0.04%,25454M
2023-08-01,15696.98,15748.43,15636.57,15718.01,-0.25%,21140M
2023-08-02,15561.15,15561.36,15321.44,15370.74,-2.21%,30595M
2023-08-03,15287.77,15436.59,15270.72,15353.54,-0.11%,24616M
2023-08-04,15420.74,15523.31,15258.69,15274.92,-0.51%,28554M
2023-08-07,15355.62,15410.85,15258.92,15407.85,0.87%,23018M
2023-08-08,15279.41,15295.80,15148.25,15273.05,-0.87%,23972M
2023-08-09,15286.99,15288.76,15077.91,15101.71,-1.12%,23340M
2023-08-10,15217.29,15366.29,15072.49,15128.84,0.18%,20551M
2023-08-11,15010.52,15102.53,14973.67,15028.07,-0.67%,19888M
2023-08-14,14988.42,15206.26,14972.01,15205.58,1.18%,21989M
2023-08-15,15172.08,15192.88,15014.37,15037.65,-1.10%,20301M
2023-08-16,15021.63,15077.05,14874.02,14876.47,-1.07%,21331M
2023-08-17,14943.34,14949.58,14698.29,14715.81,-1.08%,24075M
2023-08-18,14589.71,14744.57,14557.83,14694.84,-0.14%,25729M
2023-08-21,14762.01,14958.87,14739.37,14936.69,1.65%,23809M
2023-08-22,15035.07,15037.79,14883.98,14908.96,-0.19%,19927M
2023-08-23,14947.58,15188.86,14947.58,15148.06,1.60%,24082M
2023-08-24,15278.93,15279.24,14814.83,14816.44,-2.19%,29540M
2023-08-25,14858.93,15001.29,14715.36,14941.83,0.85%,24810M
2023-08-28,15035.48,15086.23,14948.92,15052.46,0.74%,18521M
2023-08-29,15043.02,15391.56,15034.54,15376.55,2.15%,24954M
2023-08-30,15386.67,15484.83,15341.94,15462.43,0.56%,20699M
2023-08-31,15475.43,15575.01,15466.41,15501.07,0.25%,31070M
2023-09-01,15600.95,15618.85,15429.36,15490.86,-0.07%,23161M
2023-09-05,15460.52,15556.85,15419.96,15508.24,0.11%,23347M
2023-09-06,15467.32,15487.00,15289.48,15371.44,-0.88%,21967M
2023-09-07,15174.22,15288.20,15138.73,15258.52,-0.73%,27310M
2023-09-08,15265.57,15374.22,15244.06,15280.23,0.14%,21706M
2023-09-11,15409.77,15482.84,15328.35,15461.87,1.19%,24645M
2023-09-12,15390.59,15447.85,15278.88,15289.74,-1.11%,22181M
2023-09-13,15293.27,15414.61,15256.60,15348.53,0.38%,22395M
2023-09-14,15433.01,15512.82,15337.18,15473.89,0.82%,24460M
2023-09-15,15425.95,15435.45,15173.71,15202.40,-1.75%,75674M
2023-09-18,15161.17,15268.96,15155.46,15225.37,0.15%,21661M
2023-09-19,15152.53,15219.92,15069.42,15191.23,-0.22%,21168M
